root@ubuntu-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:19:00.793573 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 4126503697:4126503805, ack 2999390586, win 501, length 108
00:19:00.793618 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 108:144, ack 1, win 501, length 36
00:19:00.793650 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 144:252, ack 1, win 501, length 108
00:19:00.793676 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 252:288, ack 1, win 501, length 36
00:19:00.796638 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 288:468, ack 1, win 501, length 180
00:19:00.796677 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 468:504, ack 1, win 501, length 36
00:19:00.796716 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 504:660, ack 1, win 501, length 156
00:19:00.796742 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 660:696, ack 1, win 501, length 36
00:19:00.796774 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 696:860, ack 1, win 501, length 164
00:19:00.817777 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 696, win 510, length 0
00:19:00.817778 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 860, win 509, length 0
00:19:00.817821 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 860:2072, ack 1, win 501, length 1212
00:19:00.817963 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2072:2220, ack 1, win 501, length 148
00:19:00.818001 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2220:2256, ack 1, win 501, length 36
00:19:00.818038 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2256:2404, ack 1, win 501, length 148
00:19:00.818066 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2404:2440, ack 1, win 501, length 36
00:19:00.818100 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2440:2604, ack 1, win 501, length 164
00:19:00.818125 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2604:2640, ack 1, win 501, length 36
00:19:00.818158 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2640:2804, ack 1, win 501, length 164
00:19:00.818184 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2804:2840, ack 1, win 501, length 36
00:19:00.818216 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 2840:3004, ack 1, win 501, length 164
00:19:00.818242 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3004:3040, ack 1, win 501, length 36
00:19:00.818275 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3040:3204, ack 1, win 501, length 164
00:19:00.818301 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3204:3240, ack 1, win 501, length 36
00:19:00.818333 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3240:3404, ack 1, win 501, length 164
00:19:00.818360 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3404:3440, ack 1, win 501, length 36
00:19:00.818392 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3440:3604, ack 1, win 501, length 164
00:19:00.818419 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3604:3640, ack 1, win 501, length 36
